"uniname";"uniurl";"scountryname";"unirank"
"Dnipropetrovsk University of Economics and Law  ";"http://www.duep.edu/";"ua";"9565"
"Faculté des Sciences Juridiques Economiques et Sociales de Tanger";"http://www.fsjest.ma/";"ma";"9566"
"Kalasalingam University";"http://www.kalasalingam.ac.in/";"in";"9567"
"Universidad Católica Santo Toribio de Mogrovejo";"http://www.usat.edu.pe/";"pe";"9568"
"Facultade de Veterinaria de Lugo";"http://www.facveterinarialugo.org/";"es";"9569"
"ESAIP École Ingenieur Informatique";"http://www.esaip.org/";"fr";"9570"
"Latvia Bank Academy";"http://www.ba.lv/";"lv";"9571"
"Far East University Korea";"http://www.kdu.ac.kr/";"kr";"9572"
"Hebrew Theological College";"http://www.htc.edu/";"us";"9573"
"Kawasaki Medical School";"http://www.kgwu.ac.jp/";"jp";"9574"
"Conservatorio a Brescia Luca Marenzio";"http://www.conservatorio.brescia.it/";"it";"9575"
"École Normale de Musique de Paris";"http://www.ecolenormalecortot.com/";"fr";"9576"
"Haute École Léonard de Vinci";"http://www.vinci.be/";"be";"9577"
"Conservatoire National Supérieur d Art Dramatique";"http://www.cnsad.fr/";"fr";"9578"
"Faculdade de Ciências Médicas de Minas Gerais";"http://www.fcmmg.br/";"br";"9579"
"Universidade do Grande Abc";"http://www.uniabc.br/";"br";"9580"
"Faculté des Sciences Dhar El Mahraz";"http://www.fsdmfes.ac.ma/";"ma";"9581"
"ESHOTEL École Hôtelière Privee";"http://www.eshotel.fr/";"fr";"9582"
"Ural State Forest Engineering University";"http://www.usfeu.ru/";"ru";"9583"
"Faculdade de informática e Administração Paulista";"http://www.fiap.com.br/";"br";"9584"
"National Institute of Pharmaceutical Education and Research  ";"http://www.niper.nic.in/";"in";"9585"
"Universidad Manuela Beltran";"http://www.umb.edu.co/";"co";"9586"
"Lucknow University";"http://www.lkouniv.ac.in/";"in";"9587"
"National Pharmacy University Ukraine";"http://www.pharm.kharkiv.edu/";"ua";"9588"
"University of Work Safety Management in Katowice";"http://studia.wszop.edu.pl/";"pl";"9589"
"International Kazakh Turkish University";"http://www.turkistan.kz/";"kz";"9590"
"École Nationale d Assurances";"http://www.enass.fr/";"fr";"9591"
"Lexington College";"http://www.lexingtoncollege.edu/";"us";"9592"
"Yaroslavl State Technical University";"http://www.ystu.ru/";"ru";"9593"
"Université de Lubumbashi";"http://www.unilu.ac.cd/";"cd";"9594"
"Punjab Agricultural University Ludhiana";"http://www.pau.edu/";"in";"9595"
"Kiev Humanitarian Institute";"http://www.kgi.edu.ua/";"ua";"9596"
"Dong-Pusan College";"http://www.dpc.ac.kr/";"kr";"9597"
"Toshkent Moliya Instituti";"http://www.tfi.uz/";"uz";"9598"
