"uniname";"uniurl";"scountryname";"unirank"
"Harvard University  ";"http://www.harvard.edu/";"us";"1"
"Massachusetts Institute of Technology";"http://www.mit.edu/";"us";"2"
"Stanford University";"http://www.stanford.edu/";"us";"3"
"University of California Berkeley";"http://www.berkeley.edu/";"us";"4"
"Cornell University";"http://www.cornell.edu/";"us";"5"
"University of Michigan";"http://www.umich.edu/";"us";"6"
"University of Minnesota";"http://www.umn.edu/";"us";"7"
"University of Washington";"http://www.washington.edu/";"us";"8"
"University of Wisconsin Madison";"http://www.wisc.edu/";"us";"9"
"University of Texas Austin";"http://www.utexas.edu/";"us";"10"
"University of Pennsylvania";"http://www.upenn.edu/";"us";"11"
"Pennsylvania State University   ";"http://www.psu.edu/";"us";"12"
"Columbia University New York";"http://www.columbia.edu/";"us";"13"
"Carnegie Mellon University";"http://www.cmu.edu/";"us";"14"
"University of Illinois Urbana Champaign  ";"http://www.uiuc.edu/";"us";"15"
"University of California Los Angeles";"http://www.ucla.edu/";"us";"16"
"Texas A&M University";"http://www.tamu.edu/";"us";"17"
"University of Maryland  ";"http://www.umd.edu/";"us";"18"
"Purdue University";"http://www.purdue.edu/";"us";"19"
"University of North Carolina Chapel Hill";"http://www.unc.edu/";"us";"20"
"Michigan State University";"http://www.msu.edu/";"us";"21"
"University of Cambridge";"http://www.cam.ac.uk/";"uk";"22"
"University of Florida";"http://www.ufl.edu/";"us";"23"
"Rutgers University";"http://www.rutgers.edu/";"us";"24"
"Indiana University  ";"http://www.indiana.edu/";"us";"25"
"New York University";"http://www.nyu.edu/";"us";"26"
"North Carolina State University";"http://www.ncsu.edu/";"us";"27"
"University of Virginia";"http://www.virginia.edu/";"us";"28"
"Yale University";"http://www.yale.edu/";"us";"29"
"University of Arizona";"http://www.arizona.edu/";"us";"30"
"University of Toronto";"http://www.utoronto.ca/";"ca";"31"
"University of California San Diego";"http://www.ucsd.edu/";"us";"32"
"University of Pittsburgh";"http://www.pitt.edu/";"us";"33"
"Princeton University";"http://www.princeton.edu/";"us";"34"
"Duke University";"http://www.duke.edu/";"us";"35"
"California Institute of Technology Caltech";"http://www.caltech.edu/";"us";"36"
"Virginia Polytechnic Institute and State University";"http://www.vt.edu/";"us";"37"
"University of British Columbia";"http://www.ubc.ca/";"ca";"38"
"Georgia Institute of Technology";"http://www.gatech.edu/";"us";"39"
"Swiss Federal Institute of Technology ETH Zürich";"http://www.ethz.ch/";"ch";"40"
"University of Oxford";"http://www.ox.ac.uk/";"uk";"41"
"Ohio State University";"http://www.osu.edu/";"us";"42"
"University of Chicago   ";"http://www.uchicago.edu/";"us";"43"
"University of Southern California";"http://www.usc.edu/";"us";"44"
"University of Georgia";"http://www.uga.edu/";"us";"45"
"University of California Davis";"http://www.ucdavis.edu/";"us";"46"
"University of California Irvine";"http://www.uci.edu/";"us";"47"
"Iowa State University";"http://www.iastate.edu/";"us";"48"
"University of Colorado Boulder";"http://www.colorado.edu/";"us";"49"
"University of Connecticut";"http://www.uconn.edu/";"us";"50"
"University of Tokyo";"http://www.u-tokyo.ac.jp/";"jp";"51"
"University of Edinburgh";"http://www.ed.ac.uk/";"uk";"52"
"University of Oslo";"http://www.uio.no/";"no";"53"
"Oregon State University";"http://oregonstate.edu/";"us";"54"
"Johns Hopkins University  /  ";"http://www.jhu.edu/";"us";"55"
"Arizona State University";"http://www.asu.edu/";"us";"56"
"University of California Santa Barbara";"http://www.ucsb.edu/";"us";"57"
"University of Utah";"http://www.utah.edu/";"us";"58"
"University of Helsinki   ";"http://www.helsinki.fi/";"fi";"59"
"Université de Montreal";"http://www.umontreal.ca/";"ca";"60"
"Norwegian University of Science & Technology";"http://www.ntnu.no/";"no";"61"
"University of Iowa";"http://www.uiowa.edu/";"us";"62"
"University College London";"http://www.ucl.ac.uk/";"uk";"63"
"Washington University Saint Louis";"http://www.wustl.edu/";"us";"64"
"University of Nebraska Lincoln";"http://www.unl.edu/";"us";"65"
"Simon Fraser University";"http://www.sfu.ca/";"ca";"66"
"George Mason University";"http://www.gmu.edu/";"us";"67"
"University of Alberta";"http://www.ualberta.ca/";"ca";"68"
"Universität Wien";"http://www.univie.ac.at/";"at";"69"
"Universidad Nacional Autónoma de México   ";"http://www.unam.mx/";"mx";"70"
"Boston University";"http://www.bu.edu/";"us";"71"
"École Polytechnique Fédérale de Lausanne";"http://www.epfl.ch/";"ch";"72"
"Australian National University";"http://www.anu.edu.au/";"au";"73"
"University of Massachusetts Amherst";"http://umass.edu/";"us";"74"
"Université de Geneve";"http://www.unige.ch/";"ch";"75"
"Florida State University";"http://www.fsu.edu/";"us";"76"
"University of Tennessee Knoxville";"http://www.utk.edu/";"us";"77"
"University of Hong Kong";"http://www.hku.hk/";"hk";"78"
"University of Missouri Columbia";"http://www.missouri.edu/";"us";"79"
"Vanderbilt University";"http://www.vanderbilt.edu/";"us";"80"
"McGill University";"http://www.mcgill.ca/";"ca";"81"
"University of Oregon";"http://www.uoregon.edu/";"us";"82"
"Kyoto University";"http://www.kyoto-u.ac.jp/";"jp";"83"
"University of California Santa Cruz";"http://www.ucsc.edu/";"us";"84"
"University of Southampton";"http://www.soton.ac.uk/";"uk";"85"
"Università di Bologna";"http://www.unibo.it/";"it";"86"
"Brigham Young University";"http://www.byu.edu/";"us";"87"
"Louisiana State University";"http://www.lsu.edu/";"us";"88"
"University of Kentucky";"http://www.uky.edu/";"us";"89"
"Université Paris 6 Pierre and Marie Curie   ";"http://www.upmc.fr/";"fr";"90"
"Drexel University";"http://www.drexel.edu/";"us";"91"
"University of New Mexico";"http://www.unm.edu/";"us";"92"
"Washington State University Pullman";"http://www.wsu.edu/";"us";"93"
"Utrecht University";"http://www.uu.nl/";"nl";"94"
"Rice University";"http://www.rice.edu/";"us";"95"
"Northwestern University";"http://www.northwestern.edu/";"us";"96"
"Université du Quebec Montreal";"http://www.uqam.ca/";"ca";"97"
"University of Waterloo";"http://www.uwaterloo.ca/";"ca";"98"
"University of Delaware";"http://www.udel.edu/";"us";"99"
"Freie Universität Berlin";"http://www.fu-berlin.de/";"de";"100"
"Université Catholique de Louvain  ";"http://www.ucl.ac.be/";"be";"101"
"University of Queensland";"http://www.uq.edu.au/";"au";"102"
"Monash University";"http://www.monash.edu.au/";"au";"103"
"Colorado State University";"http://www.colostate.edu/";"us";"104"
"York University";"http://www.yorku.ca/";"ca";"105"
"University of Calgary";"http://www.ucalgary.ca/";"ca";"106"
"State University of New York at Buffalo";"http://www.buffalo.edu/";"us";"107"
"City University of New York";"http://www.cuny.edu/";"us";"108"
"University of Rochester";"http://www.rochester.edu/";"us";"109"
"Université Laval";"http://www.ulaval.ca/";"ca";"110"
"Ludwig Maximilians Universität München  ";"http://www.uni-muenchen.de/";"de";"111"
"Chinese University of Hong Kong";"http://www.cuhk.edu.hk/";"hk";"112"
"Rensselaer Polytechnic Institute";"http://www.rpi.edu/";"us";"113"
"Ruprecht Karls Universität Heidelberg";"http://www.uni-heidelberg.de/";"de";"114"
"Universität Trier   ";"http://www.uni-trier.de/";"de";"115"
"Humboldt Universität zu Berlin";"http://www.hu-berlin.de/";"de";"116"
"University of Warwick";"http://www.warwick.ac.uk/";"uk";"117"
"Brown University";"http://www.brown.edu/";"us";"118"
"University of North Texas";"http://www.unt.edu/";"us";"119"
"University of Amsterdam";"http://www.uva.nl/";"nl";"120"
"University of Illinois Chicago";"http://www.uic.edu/";"us";"121"
"Universidade de São Paulo    ";"http://www.usp.br/";"br";"122"
"Royal Institute of Technology";"http://www.kth.se/";"se";"123"
"Universität Leipzig";"http://www.uni-leipzig.de/";"de";"124"
"National University of Singapore";"http://www.nus.edu.sg/";"sg";"125"
"Charles University";"http://www.cuni.cz/";"cz";"126"
"University of Groningen";"http://www.rug.nl/";"nl";"127"
"University of Notre Dame";"http://www.nd.edu/";"us";"128"
"Uppsala University";"http://www.uu.se/";"se";"129"
"University of South Carolina";"http://www.sc.edu/";"us";"130"
"Universität Hamburg";"http://www.uni-hamburg.de/";"de";"131"
"Tufts University";"http://www.tufts.edu/";"us";"132"
"University of South Florida";"http://www.usf.edu/";"us";"133"
"University of Oklahoma";"http://www.ou.edu/";"us";"134"
"University of Melbourne";"http://www.unimelb.edu.au/";"au";"135"
"University of Glasgow";"http://www.gla.ac.uk/";"uk";"136"
"University of Kansas";"http://www.ku.edu/";"us";"137"
"Georgetown University";"http://www.georgetown.edu/";"us";"138"
"University of Sydney  ";"http://www.usyd.edu.au/";"au";"139"
"National Taiwan University    ";"http://www.ntu.edu.tw/";"tw";"140"
"University of Houston";"http://www.uh.edu/";"us";"141"
"Emory University";"http://www.emory.edu/";"us";"142"
"Utah State University";"http://www.usu.edu/";"us";"143"
"University of California San Francisco";"http://www.ucsf.edu/";"us";"144"
"Oklahoma State University";"http://osu.okstate.edu/";"us";"145"
"Linköping University";"http://www.liu.se/";"se";"146"
"Universidad Complutense de Madrid   ";"http://www.ucm.es/";"es";"147"
"University of Bergen";"http://www.uib.no/";"no";"148"
"Technische Universität Chemnitz";"http://www.tu-chemnitz.de/";"de";"149"
"Technische Universität Wien";"http://www.tuwien.ac.at/";"at";"150"
"University of Ljubljana";"http://www.uni-lj.si/";"si";"151"
"Hebrew University of Jerusalem";"http://www.huji.ac.il/";"il";"152"
"University of New South Wales";"http://www.unsw.edu.au/";"au";"153"
"Universität Münster";"http://www.uni-muenster.de/";"de";"154"
"University of Victoria British Columbia";"http://www.uvic.ca/";"ca";"155"
"Auburn University";"http://www.auburn.edu/";"us";"156"
"Università di Pisa";"http://www.unipi.it/";"it";"157"
"Syracuse University";"http://www.syr.edu/";"us";"158"
"Texas Tech University";"http://www.ttu.edu/";"us";"159"
"University of Leeds";"http://www.leeds.ac.uk/";"uk";"160"
"Rochester Institute of Technology";"http://www.rit.edu/";"us";"161"
"University of Twente  ";"http://www.utwente.nl/";"nl";"162"
"Universität Freiburg";"http://www.uni-freiburg.de/";"de";"163"
"Newcastle University";"http://www.ncl.ac.uk/";"uk";"164"
"King Saud University";"http://www.ksu.edu.sa/";"sa";"165"
"Catholic University of Leuven  ";"http://www.kuleuven.be/";"be";"166"
"Université de Liège";"http://www.ulg.ac.be/";"be";"167"
"Universität zu Köln";"http://www.uni-koeln.de/";"de";"168"
"McMaster University";"http://www.mcmaster.ca/";"ca";"169"
"Kansas State University  ";"http://www.ksu.edu/";"us";"170"
"Dartmouth College";"http://www.dartmouth.edu/";"us";"171"
"University of California Riverside";"http://www.ucr.edu/";"us";"172"
"George Washington University";"http://www.gwu.edu/";"us";"173"
"Université Libre de Bruxelles";"http://www.ulb.ac.be/";"be";"174"
"Georgia State University";"http://www.gsu.edu/";"us";"175"
"Delft University of Technology";"http://www.tudelft.nl/";"nl";"176"
"University of Copenhagen";"http://www.ku.dk/";"dk";"177"
"University of Cincinnati";"http://www.uc.edu/";"us";"178"
"King Fahd University of Petroleum & Minerals";"http://www.kfupm.edu.sa/";"sa";"179"
"Universität Stuttgart";"http://www.uni-stuttgart.de/";"de";"180"
"Rheinische Friedrich Wilhelms Universität Bonn";"http://www.uni-bonn.de/";"de";"181"
"Indiana University/Purdue University Indianapolis";"http://www.iupui.edu/";"us";"182"
"Technische Universität Berlin";"http://www.tu-berlin.de/";"de";"183"
"Universidad Politécnica de Madrid";"http://www.upm.es/";"es";"184"
"Montana State University";"http://www.montana.edu/";"us";"185"
"West Virginia University";"http://www.wvu.edu/";"us";"186"
"Tartu University";"http://www.ut.ee/";"ee";"187"
"Boston College";"http://www.bc.edu/";"us";"188"
"Eindhoven University of Technology";"http://w3.tue.nl/";"nl";"189"
"Queen s University Kingston";"http://www.queensu.ca/";"ca";"190"
"Masaryk University";"http://www.muni.cz/";"cz";"191"
"Lund University";"http://www.lu.se/";"se";"192"
"Universität Karlsruhe (Karlsruhe Institute of Technology)";"http://www.uni-karlsruhe.de/";"de";"193"
"Technische Universität München  ";"http://www.tum.de/";"de";"194"
"University of Saskatchewan";"http://www.usask.ca/";"ca";"195"
"Universität Bielefeld";"http://www.uni-bielefeld.de/";"de";"196"
"University of Western Ontario";"http://www.uwo.ca/";"ca";"197"
"University of Miami";"http://www.miami.edu/";"us";"198"
"Universidad de Chile";"http://www.uchile.cl/";"cl";"199"
"Korea Advanced Institute of Science & Technology";"http://www.kaist.ac.kr/";"kr";"200"
"Wayne State University";"http://www.wayne.edu/";"us";"201"
"Universidad del País Vasco";"http://www.ehu.es/";"es";"202"
"Université d Ottawa University of Ottawa";"http://www.uottawa.ca/";"ca";"203"
"Università degli Studi di Roma La Sapienza";"http://www.uniroma1.it/";"it";"204"
"Universitat de València  ";"http://www.uv.es/";"es";"205"
"Case Western Reserve University";"http://www.case.edu/";"us";"206"
"San Diego State University";"http://www.sdsu.edu/";"us";"207"
"Keio University";"http://www.keio.ac.jp/";"jp";"208"
"University of Central Florida";"http://www.ucf.edu/";"us";"209"
"Rheinisch Westfalische Technische Hochschule Aachen   ";"http://www.rwth-aachen.de/";"de";"210"
"University of Bristol  ";"http://www.bris.ac.uk/";"uk";"211"
"Universität Tubingen";"http://www.uni-tuebingen.de/";"de";"212"
"Michigan Technological University";"http://www.mtu.edu/";"us";"213"
"Universitat de Barcelona  ";"http://www.ub.es/";"es";"214"
"Universitat d Alacant";"http://www.ua.es/";"es";"215"
"University of Vermont";"http://www.uvm.edu/";"us";"216"
"Technische Universität Dresden";"http://tu-dresden.de/";"de";"217"
"Universitat Politècnica de Catalunya  ";"http://www.upc.edu/";"es";"218"
"Lomonosov Moscow State University";"http://www.msu.ru/";"ru";"219"
"Tel Aviv University";"http://www.tau.ac.il/";"il";"220"
"Florida International University";"http://www.fiu.edu/";"us";"221"
"Université de Nice Sophia Antipolis";"http://portail.unice.fr/";"fr";"222"
"University of Manitoba";"http://www.umanitoba.ca/";"ca";"223"
"Friedrich Alexander Universität Erlangen Nürnberg";"http://www.uni-erlangen.de/";"de";"224"
"Universität Regensburg";"http://www.uni-regensburg.de/";"de";"225"
"Portland State University";"http://www.pdx.edu/";"us";"226"
"Universidad de Granada";"http://www.ugr.es/";"es";"227"
"Open University UK";"http://www.open.ac.uk/";"uk";"228"
"Johann Wolfgang Goethe Universität Frankfurt am Main";"http://www.uni-frankfurt.de/";"de";"229"
"Universidade do Porto";"http://www.up.pt/";"pt";"230"
"University of Sheffield  ";"http://www.shef.ac.uk/";"uk";"231"
"University of New Hampshire";"http://www.unh.edu/";"us";"232"
"New Mexico State University";"http://www.nmsu.edu/";"us";"233"
"University of Dublin Trinity College";"http://www.tcd.ie/";"ie";"234"
"École Normale Supérieure Paris";"http://www.ens.fr/";"fr";"235"
"Imperial College  ";"http://www.ic.ac.uk/";"uk";"236"
"Nagoya University";"http://www.nagoya-u.ac.jp/";"jp";"237"
"Northeastern University  ";"http://www.neu.edu/";"us";"238"
"Universidade Estadual de Campinas    ";"http://www.unicamp.br/";"br";"239"
"Aarhus University";"http://www.au.dk/";"dk";"240"
"Technion Israel Institute of Technology";"http://www.technion.ac.il/";"il";"241"
"London School of Economics and Political Science";"http://www.lse.ac.uk/";"uk";"242"
"Goteborg University";"http://www.gu.se/";"se";"243"
"Universität Bremen";"http://www.uni-bremen.de/";"de";"244"
"University of Alabama";"http://www.ua.edu/";"us";"245"
"Università degli Studi di Padova";"http://www.unipd.it/";"it";"246"
"Università degli Studi di Firenze";"http://www.unifi.it/";"it";"247"
"University of Adelaide";"http://www.adelaide.edu.au/";"au";"248"
"University of Birmingham";"http://www.bham.ac.uk/";"uk";"249"
"University of Maryland Baltimore County";"http://www.umbc.edu/";"us";"250"
"Universität Kassel";"http://cms.uni-kassel.de/";"de";"251"
"Technische Universität Darmstadt";"http://www.tu-darmstadt.de/";"de";"252"
"Osaka University";"http://www.osaka-u.ac.jp/";"jp";"253"
"University of York";"http://www.york.ac.uk/";"uk";"254"
"University of Wisconsin Milwaukee";"http://www.uwm.edu/";"us";"255"
"Hong Kong University of Science & Technology";"http://www.ust.hk/";"hk";"256"
"Mississippi State University";"http://www.msstate.edu/";"us";"257"
"University of Tsukuba";"http://www.tsukuba.ac.jp/";"jp";"258"
"Southern Illinois University";"http://www.siu.edu/";"us";"259"
"Carleton University";"http://www.carleton.ca/";"ca";"260"
"Universitat Autònoma de Barcelona  ";"http://www.uab.es/";"es";"261"
"Tohoku University";"http://www.tohoku.ac.jp/";"jp";"262"
"Virginia Commonwealth University";"http://www.vcu.edu/";"us";"263"
"San José State University";"http://www.sjsu.edu/";"us";"264"
"Tampere University of Technology";"http://www.tut.fi/";"fi";"265"
"Universität Bern";"http://www.unibe.ch/";"ch";"266"
"Stony Brook University  ";"http://www.sunysb.edu/";"us";"267"
"Universidad de Sevilla";"http://www.us.es/";"es";"268"
"Philipps Universität Marburg";"http://www.uni-marburg.de/";"de";"269"
"Clemson University";"http://www.clemson.edu/";"us";"270"
"Peking University";"http://www.pku.edu.cn/";"cn";"271"
"Northern Illinois University";"http://www.niu.edu/";"us";"272"
"University of Manchester  ";"http://www.manchester.ac.uk/";"uk";"273"
"Universidad de Buenos Aires";"http://www.uba.ar/";"ar";"274"
"Università degli Studi di Torino";"http://www.unito.it/";"it";"275"
"University of Idaho";"http://www.uidaho.edu/";"us";"276"
"University of Nevada Reno";"http://www.unr.edu/";"us";"277"
"Stockholm University";"http://www.su.se/";"se";"278"
"State University of New York at Albany";"http://www.albany.edu/";"us";"279"
"Technical University of Denmark";"http://www.dtu.dk/";"dk";"280"
"Université Claude Bernard Lyon 1";"http://www.univ-lyon1.fr/";"fr";"281"
"Université Rene Descartes Paris 5";"http://www.univ-paris5.fr/";"fr";"282"
"Kent State University";"http://www.kent.edu/";"us";"283"
"Università degli Studi di Milano";"http://www.unimi.it/";"it";"284"
"Johannes Gutenberg Universität Mainz";"http://www.uni-mainz.de/";"de";"285"
"Universidad de Murcia";"http://www.um.es/";"es";"286"
"VU University of Amsterdam";"http://www.vu.nl/";"nl";"287"
"University of Texas Arlington";"http://www.uta.edu/";"us";"288"
"University of Auckland";"http://www.auckland.ac.nz/";"nz";"289"
"University College Cork National University of Ireland";"http://www.ucc.ie/";"ie";"290"
"King Abdulaziz University";"http://www.kau.edu.sa/";"sa";"291"
"Ghent University";"http://www.ugent.be/";"be";"292"
"Dalhousie University";"http://www.dal.ca/";"ca";"293"
"University of Arkansas Fayetteville   ";"http://www.uark.edu/";"us";"294"
"Technische Universität Graz";"http://portal.tugraz.at/";"at";"295"
"Universität Hannover";"http://www.uni-hannover.de/";"de";"296"
"Durham University";"http://www.dur.ac.uk/";"uk";"297"
"Seoul National University";"http://www.snu.ac.kr/";"kr";"298"
"San Francisco State University";"http://www.sfsu.edu/";"us";"299"
"Czech Technical University";"http://www.cvut.cz/";"cz";"300"
"Northern Arizona University";"http://home.nau.edu/";"us";"301"
"Lancaster University";"http://www.lancs.ac.uk/";"uk";"302"
"Universidad de Zaragoza";"http://www.unizar.es/";"es";"303"
"University of Nottingham  ";"http://www.nottingham.ac.uk/";"uk";"304"
"Aalborg University";"http://www.aau.dk/";"dk";"305"
"Eotvos Lorand University (University of Budapest)";"http://www.elte.hu/";"hu";"306"
"University of Rhode Island";"http://www.uri.edu/";"us";"307"
"Temple University";"http://www.temple.edu/";"us";"308"
"National Chiao Tung University    ";"http://www.nctu.edu.tw/";"tw";"309"
"Kasetsart University";"http://www.ku.ac.th/";"th";"310"
"RMIT University";"http://www.rmit.edu.au/";"au";"311"
"Umea University";"http://www.umu.se/";"se";"312"
"Leiden University  ";"http://www.leidenuniv.nl/";"nl";"313"
"Ruhr Universität Bochum";"http://www.ruhr-uni-bochum.de/";"de";"314"
"Technische Universität Dortmund  ";"http://www.uni-dortmund.de/";"de";"315"
"Universität Göttingen";"http://www.uni-goettingen.de/";"de";"316"
"Tsinghua University China";"http://www.tsinghua.edu.cn/";"cn";"317"
"Memorial University of Newfoundland";"http://www.mun.ca/";"ca";"318"
"California Polytechnic State University";"http://www.calpoly.edu/";"us";"319"
"California State University Northridge";"http://www.csun.edu/";"us";"320"
"Université de Rennes 1";"http://www.univ-rennes1.fr/";"fr";"321"
"University of Wyoming";"http://www.uwyo.edu/";"us";"322"
"Universidade Técnica de Lisboa";"http://www.utl.pt/";"pt";"323"
"Universität Basel";"http://www.unibas.ch/";"ch";"324"
"Universidad Politécnica de Valencia";"http://www.upv.es/";"es";"325"
"Budapest University of Technology and Economics";"http://portal.bme.hu/";"hu";"326"
"University of Essex";"http://www.essex.ac.uk/";"uk";"327"
"Universidad de Salamanca";"http://www.usal.es/";"es";"328"
"Baylor University";"http://www.baylor.edu/";"us";"329"
"École Polytechnique (France)  ";"http://www.polytechnique.fr/";"fr";"330"
"Ball State University";"http://www.bsu.edu/";"us";"331"
"Heinrich Heine Universität Düsseldorf";"http://www.uni-duesseldorf.de/";"de";"332"
"Concordia University Montreal";"http://www.concordia.ca/";"ca";"333"
"King s College London";"http://www.kcl.ac.uk/";"uk";"334"
"Weizmann Institute of Science";"http://www.weizmann.ac.il/";"il";"335"
"City University of Hong Kong";"http://www.cityu.edu.hk/";"hk";"336"
"Universität Innsbruck";"http://www.uibk.ac.at/";"at";"337"
"University of North Carolina Charlotte";"http://www.uncc.edu/";"us";"338"
"Chalmers University of Technology";"http://www.chalmers.se/";"se";"339"
"University of Cape Town";"http://www.uct.ac.za/";"za";"340"
"National Technical University of Athens";"http://www.ntua.gr/";"gr";"341"
"Universidad Nacional de Educación a Distancia";"http://www.uned.es/";"es";"342"
"University of Guelph";"http://www.uoguelph.ca/";"ca";"343"
"Christian Albrechts Universität zu Kiel";"http://www.uni-kiel.de/";"de";"344"
"University of Western Australia";"http://www.uwa.edu.au/";"au";"345"
"Universität des Saarlandes";"http://www.uni-saarland.de/";"de";"346"
"University of Nevada las Vegas";"http://www.unlv.edu/";"us";"347"
"Technische Universität Kaiserslautern";"http://www.uni-kl.de/";"de";"348"
"University of Bath";"http://www.bath.ac.uk/";"uk";"349"
"Università degli Studi di Trento";"http://portale.unitn.it/";"it";"350"
"Universidad Autónoma de Madrid";"http://www.uam.es/";"es";"351"
"University of Southern Denmark";"http://www.sdu.dk/";"dk";"352"
"Friedrich Schiller Universität Jena";"http://www.uni-jena.de/";"de";"353"
"National Taiwan Normal University";"http://www.ntnu.edu.tw/";"tw";"354"
"University of Aberdeen";"http://www.abdn.ac.uk/";"uk";"355"
"Justus Liebig Universität Giessen";"http://www.uni-giessen.de/";"de";"356"
"Hong Kong Polytechnic University";"http://www.polyu.edu.hk/";"hk";"357"
"Jyväskylä University";"http://www.jyu.fi/";"fi";"358"
"Tokyo Institute of Technology";"http://www.titech.ac.jp/";"jp";"359"
"Queensland University of Technology";"http://www.qut.edu.au/";"au";"360"
"Worcester Polytechnic Institute";"http://www.wpi.edu/";"us";"361"
"National Tsing Hua University Taiwan    ";"http://www.nthu.edu.tw/";"tw";"362"
"Jagiellonian University";"http://www.uj.edu.pl/";"pl";"363"
"Universität Paderborn";"http://www.uni-paderborn.de/";"de";"364"
"University of Alabama Birmingham";"http://www.uab.edu/";"us";"365"
"Loyola University Chicago";"http://www.luc.edu/";"us";"366"
"Universität Ulm";"http://www.uni-ulm.de/";"de";"367"
"Universitat Jaume I";"http://www.uji.es/";"es";"368"
"Lehigh University";"http://www.lehigh.edu/";"us";"369"
"University of Texas Dallas";"http://www.utdallas.edu/";"us";"370"
"Université du Quebec Chicoutimi";"http://www.uqac.ca/";"ca";"371"
"Macquarie University";"http://www.mq.edu.au/";"au";"372"
"Université Joseph Fourier Grenoble 1";"http://www.ujf-grenoble.fr/";"fr";"373"
"Università degli Studi di Napoli Federico II";"http://www.unina.it/";"it";"374"
"University of Saint Andrews";"http://www.st-andrews.ac.uk/";"uk";"375"
"University of Alaska Fairbanks";"http://www.uaf.edu/";"us";"376"
"Universidade Federal de Santa Catarina    ";"http://www.ufsc.br/";"br";"377"
"Universidade de Coimbra";"http://www.uc.pt/";"pt";"378"
"Kobe University";"http://www.kobe-u.ac.jp/";"jp";"379"
"Universidade de Vigo";"http://www.uvigo.es/";"es";"380"
"Universität Mannheim";"http://www.uni-mannheim.de/";"de";"381"
"Wake Forest University";"http://www.wfu.edu/";"us";"382"
"Universidade de Santiago de Compostela";"http://www.usc.es/";"es";"383"
"University of Iceland";"http://www.hi.is/";"is";"384"
"Université de Sherbrooke";"http://www.usherbrooke.ca/";"ca";"385"
"Universidade Federal do Rio de Janeiro    ";"http://www.ufrj.br/";"br";"386"
"Aristotle University of Thessaloniki";"http://www.auth.gr/";"gr";"387"
"Chulalongkorn University";"http://www.chula.ac.th/";"th";"388"
"Università degli Studi di Roma Tor Vergata";"http://web.uniroma2.it/";"it";"389"
"Université de Lausanne";"http://www.unil.ch/";"ch";"390"
"Università degli Studi di Genova";"http://www.unige.it/";"it";"391"
"Prince of Songkla University";"http://www.psu.ac.th/";"th";"392"
"University of Leicester";"http://www.le.ac.uk/";"uk";"393"
"Western Michigan University";"http://www.wmich.edu/";"us";"394"
"Kyushu University";"http://www.kyushu-u.ac.jp/";"jp";"395"
"Otto Von Guericke Universität Magdeburg";"http://www.uni-magdeburg.de/";"de";"396"
"Appalachian State University";"http://www.appstate.edu/";"us";"397"
"University of Oulu";"http://www.oulu.fi/";"fi";"398"
"Universität Potsdam";"http://www.uni-potsdam.de/";"de";"399"
"Fordham University";"http://www.fordham.edu/";"us";"400"
"Southern Methodist University";"http://www.smu.edu/";"us";"401"
"Università degli Studi di Palermo";"http://portale.unipa.it/";"it";"402"
"University of New Brunswick";"http://www.unb.ca/";"ca";"403"
"American University Washington DC";"http://www.american.edu/";"us";"404"
"Universität Konstanz";"http://www.uni-konstanz.de/";"de";"405"
"Brandeis University";"http://www.brandeis.edu/";"us";"406"
"Saint Louis University";"http://www.slu.edu/";"us";"407"
"Universität Zürich  ";"http://www.uzh.ch/";"ch";"408"
"University of Surrey";"http://www.surrey.ac.uk/";"uk";"409"
"Universität Würzburg";"http://www.uni-wuerzburg.de/";"de";"410"
"Free University of Brussels VUB";"http://www.vub.ac.be/";"be";"411"
"Università degli Studi di Siena";"http://www.unisi.it/";"it";"412"
"National Cheng Kung University    ";"http://www.ncku.edu.tw/";"tw";"413"
"College of William & Mary";"http://www.wm.edu/";"us";"414"
"University of Liverpool";"http://www.liv.ac.uk/";"uk";"415"
"Technische Universität Braunschweig  ";"http://www.tu-bs.de/";"de";"416"
"University of Texas El Paso";"http://www.utep.edu/";"us";"417"
"Université Paris 1 Panthéon Sorbonne";"http://www.univ-paris1.fr/";"fr";"418"
"University of Tromso";"http://www.uit.no/";"no";"419"
"Miami University of Ohio";"http://www.miami.muohio.edu/";"us";"420"
"Université Paris XI Sud";"http://www.u-psud.fr/";"fr";"421"
"University of Mississippi";"http://www.olemiss.edu/";"us";"422"
"Illinois Institute of Technology";"http://www.iit.edu/";"us";"423"
"New Jersey Institute of Technology";"http://www.njit.edu/";"us";"424"
"Cardiff University  ";"http://www.cf.ac.uk/";"uk";"425"
"Carl Von Ossietzky Universität Oldenburg";"http://www.uni-oldenburg.de/";"de";"426"
"James Madison University";"http://www.jmu.edu/";"us";"427"
"Universidad de Málaga";"http://www.uma.es/";"es";"428"
"Boise State University";"http://www.boisestate.edu/";"us";"429"
"National Chengchi University";"http://www.nccu.edu.tw/";"tw";"430"
"Universitat Pompeu Fabra  ";"http://www.upf.edu/";"es";"431"
"Tulane University";"http://tulane.edu/";"us";"432"
"California State University Chico";"http://www.csuchico.edu/";"us";"433"
"University of Montana Missoula";"http://www.umt.edu/";"us";"434"
"University College Dublin National University of Ireland";"http://www.ucd.ie/";"ie";"435"
"California State University Long Beach";"http://www.csulb.edu/";"us";"436"
"National Sun Yat-Sen University    ";"http://www.nsysu.edu.tw/";"tw";"437"
"Karl Franzens Universität Graz  ";"http://www.uni-graz.at/";"at";"438"
